Var1,Var2
LMPD_171_pe160_c,0
LMPD_172_pe160_c,1
LMPD_173_pe161_c,1
LMPD_174_pe161_c,0
LMPD_175_pe161_c,0
LMPD_176_pe161_c,0
LMPD_177_pe161_c,0
LMPD_178_pe161_c,0
LMPD_179_pe161_c,0
LMPD_180_pe181_c,0
LMPD_181_pe181_c,0
LMPD_182_pe181_c,0
LMPD_183_pe181_c,0
LMPD_184_pe181_c,0
LMPD_185_pe181_c,0
LMPD_186_pe181_c,0
LMPD_187_pe181_c,0
LMPD_188_pe181_c,0
LMPD_189_pe181_c,1
LMPD_190_pg160_c,0
LMPD_191_pg160_c,0
LMPD_192_pg160_c,0
LMPD_193_pg160_c,0
LMPD_194_pg160_c,0
LMPD_195_pg160_c,0
LMPD_196_pg160_c,0
LMPD_197_pg160_c,0
LMPD_198_pg160_c,0
LMPD_199_pg160_c,1
LMPD_200_pg161_c,0
LMPD_201_pg161_c,1
LMPD_202_pg161_c,0
LMPD_203_pg161_c,0
LMPD_204_pg161_c,0
LMPD_205_pg161_c,0
LMPD_206_pg161_c,0
LMPD_207_pg181_c,0
LMPD_208_pg181_c,0
LMPD_209_pg181_c,0
LMPD_210_pg181_c,0
LMPD_211_pg181_c,0
LMPD_212_pg181_c,0
LMPD_213_pg181_c,0
LMPD_214_pg181_c,0
LMPD_215_pg181_c,0
LMPD_216_pg181_c,1
LMPD_217_phe-L_c,1
LMPD_218_pheme_c,1
LMPD_219_pheme_c,0
LMPD_220_pro-L_c,1
LMPD_221_ptrc_c,1
LMPD_222_pydx5p_c,0
LMPD_223_pydx5p_c,1
LMPD_224_q8h2_c,1
LMPD_225_q8h2_c,0
LMPD_226_q8h2_c,0
LMPD_227_q8h2_c,0
LMPD_228_q8h2_c,0
LMPD_229_q8h2_c,0
LMPD_230_q8h2_c,0
LMPD_231_q8h2_c,0
LMPD_232_q8h2_c,0
LMPD_233_q8h2_c,0
LMPD_234_q8h2_c,0
LMPD_235_ribflv_c,0
LMPD_236_ribflv_c,0
LMPD_237_ribflv_c,0
LMPD_238_ribflv_c,0
LMPD_239_ser-L_c,1
LMPD_240_sheme_c,1
LMPD_241_spmd_c,0
LMPD_242_spmd_c,0
LMPD_243_thf_c,0
LMPD_244_thf_c,0
LMPD_245_thf_c,0
LMPD_246_thf_c,0
LMPD_247_thmpp_c,0
LMPD_248_thmpp_c,0
LMPD_249_thr-L_c,1
LMPD_250_trp-L_c,1
LMPD_251_tyr-L_c,1
LMPD_252_udcpdp_c,1
LMPD_253_utp_c,1
LMPD_254_val-L_c,1
